Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Body mass index,Absenteeism time in hours
7,3,289,36,13,33,"239,554",97,0,1,2,1,0,30,4
7,3,118,13,18,50,"239,554",97,1,1,1,1,0,31,0
7,4,179,51,18,38,"239,554",97,0,1,0,1,0,31,2
7,5,279,5,14,39,"239,554",97,0,1,2,1,1,24,4
7,5,289,36,13,33,"239,554",97,0,1,2,1,0,30,2
7,6,179,51,18,38,"239,554",97,0,1,0,1,0,31,
7,6,,52,3,28,"239,554",97,0,1,1,1,0,27,8
7,6,260,50,11,36,"239,554",97,0,1,4,1,0,23,4
7,2,155,12,14,34,"239,554",97,0,1,2,1,0,25,40
7,2,235,11,14,37,"239,554",97,0,3,1,0,0,29,8
7,2,260,50,11,36,"239,554",97,0,1,4,1,0,23,8
7,3,260,50,11,36,"239,554",97,0,1,4,1,0,23,8
7,4,260,50,11,36,"239,554",97,0,1,4,1,0,23,8
7,4,179,51,18,38,"239,554",97,0,1,0,1,0,31,1
7,4,179,51,18,38,"239,554",97,0,1,0,1,0,,4
7,6,246,25,16,41,"239,554",97,0,1,0,1,0,,
7,6,,51,18,38,"239,554",97,0,1,0,1,0,31,2
7,2,179,51,18,38,"239,554",97,0,1,0,1,0,31,8
7,5,189,29,13,33,"239,554",97,0,1,2,0,0,25,8
8,4,248,25,14,47,"205,917",92,0,1,2,0,0,32,2
8,4,330,16,4,28,"205,917",92,0,2,0,0,0,25,
8,2,179,51,18,38,"205,917",92,0,1,0,1,0,31,1
8,2,361,52,3,28,"205,917",92,0,1,1,1,0,27,40
8,6,260,50,11,36,"205,917",92,0,1,4,1,0,23,4
8,2,289,36,13,33,"205,917",92,0,1,2,1,0,,8
8,2,361,52,3,28,"205,917",92,0,1,1,1,0,27,7
8,3,289,36,13,33,"205,917",92,0,1,2,1,0,30,1
8,4,157,27,6,29,"205,917",92,0,1,0,1,1,,4
8,4,289,36,13,33,"205,917",92,0,1,2,1,0,30,8
8,6,179,51,18,38,"205,917",92,0,1,0,1,0,31,2
8,2,179,51,18,38,"205,917",92,0,1,0,1,0,31,8
8,5,235,29,12,48,"205,917",92,0,1,1,0,1,,8
8,5,,11,14,37,"205,917",92,0,3,1,0,0,29,4
8,2,235,29,12,48,"205,917",92,0,1,1,0,1,33,8
8,2,179,51,18,38,"205,917",92,0,1,0,1,0,31,2
8,2,361,52,3,28,"205,917",92,0,1,1,1,0,27,1
8,3,289,36,13,33,"205,917",92,0,1,2,1,0,30,8
8,5,291,50,12,32,"205,917",92,0,1,0,1,0,,4
8,6,235,29,12,48,"205,917",92,0,1,1,0,1,33,8
8,6,260,50,11,36,"205,917",92,0,1,4,1,0,23,4
9,3,184,42,7,27,"241,476",92,0,1,0,0,0,21,2
9,2,118,10,10,37,"241,476",92,0,1,0,0,0,,4
9,3,179,51,18,38,"241,476",92,0,1,0,1,0,,4
9,3,235,20,13,43,"241,476",92,0,1,1,1,0,38,8
9,4,155,12,14,34,"241,476",92,0,1,2,1,0,25,2
9,2,118,,10,37,"241,476",92,0,1,0,0,0,28,3
9,3,179,51,18,38,"241,476",92,0,1,0,1,0,31,3
9,5,291,31,12,40,"241,476",92,0,1,1,1,0,25,4
9,6,260,50,11,36,"241,476",92,0,1,4,1,0,23,
9,2,,31,12,40,"241,476",92,0,1,1,1,0,25,32
9,2,,50,11,36,"241,476",92,,1,4,1,0,23,
9,2,225,26,9,28,"241,476",92,1,1,1,0,0,24,0
9,3,225,26,9,28,"241,476",92,0,1,1,0,0,,2
9,3,118,10,10,37,"241,476",92,0,1,0,0,0,,2
9,3,289,36,13,33,"241,476",92,1,1,2,1,0,30,0
9,3,118,13,18,50,,92,1,1,1,1,0,31,
9,4,225,26,9,28,"241,476",92,0,1,1,0,0,,3
9,4,179,51,18,38,"241,476",92,0,1,0,1,0,,3
9,4,369,17,12,31,"241,476",92,1,1,3,1,0,,0
9,6,248,25,14,47,"241,476",92,0,1,2,0,0,32,1
9,6,179,51,18,38,"241,476",92,0,1,0,1,0,31,3
9,6,260,50,11,36,"241,476",92,0,1,4,1,0,23,4
10,3,179,51,18,38,"253,465",93,0,1,0,1,0,31,3
10,3,118,10,10,37,"253,465",93,0,1,0,0,0,28,
10,4,118,13,18,50,"253,465",93,1,1,1,1,0,,
10,5,,,9,30,"253,465",93,0,3,0,0,0,19,1
,6,179,51,18,38,"253,465",93,0,1,0,1,0,31,3
10,6,225,26,9,28,"253,465",93,0,1,1,0,0,24,3
10,3,118,10,10,37,"253,465",93,0,1,0,0,0,28,3
10,4,225,26,9,28,"253,465",93,0,1,1,0,0,24,2
10,4,248,25,14,47,"253,465",93,0,1,2,0,0,32,2
10,5,291,31,12,40,"253,465",93,0,1,1,1,0,25,5
10,4,179,51,18,38,"253,465",93,0,1,0,1,0,31,8
10,4,225,26,9,28,"253,465",93,0,1,1,0,0,24,3
10,5,260,50,11,36,"253,465",93,0,1,4,1,0,23,16
10,3,291,31,12,40,"253,465",93,0,1,1,1,0,25,8
10,3,225,26,9,28,"253,465",93,0,1,1,0,0,24,2
10,4,289,36,13,33,,93,0,,2,1,0,,8
10,6,361,52,3,28,"253,465",93,0,1,1,,0,27,1
10,6,,50,11,36,"253,465",93,0,1,,1,0,23,3
11,5,179,51,18,38,"306,345",93,0,1,0,1,0,31,1
11,4,225,,9,28,"306,345",93,0,1,1,0,0,24,1
11,5,179,51,18,38,"306,345",,0,1,0,1,0,31,8
11,5,179,22,17,40,"306,345",93,0,2,2,0,1,22,8
11,5,291,31,12,40,,93,0,1,1,1,0,25,5
11,2,155,12,14,34,"306,345",93,0,1,,,0,25,32
11,2,189,29,13,33,"306,345",93,0,1,2,0,0,25,8
11,2,291,31,12,40,"306,345",93,0,1,1,1,0,25,40
11,4,225,26,9,28,"306,345",93,0,1,1,0,0,24,1
11,6,155,12,14,34,"306,345",93,0,1,2,1,0,,8
11,4,225,26,9,28,"306,345",93,0,1,1,0,0,24,3
11,4,179,22,17,40,"306,345",,0,2,2,,1,22,8
11,6,225,26,9,28,"306,345",93,0,1,1,0,0,24,3
11,6,260,50,11,36,,93,0,1,4,1,0,23,4
11,2,248,25,14,47,"306,345",93,0,1,2,0,0,32,1
11,3,225,26,9,28,"306,345",93,0,1,1,0,0,24,3
11,4,289,36,13,33,"306,345",93,0,1,2,1,0,30,24
11,5,291,31,12,40,"306,345",93,0,1,1,1,0,25,3
12,3,248,25,14,47,"261,306",97,0,1,2,0,0,32,1
12,3,118,10,10,37,"261,306",97,0,1,0,0,0,,64
12,4,118,13,18,50,"261,306",97,0,1,1,1,0,,2
12,4,235,11,14,37,"261,306",97,0,3,1,0,0,29,8
12,5,225,26,9,28,"261,306",97,0,1,1,0,0,24,2
12,6,260,50,11,36,"261,306",97,0,1,4,1,0,23,8
12,3,118,10,10,37,,97,0,1,0,0,0,28,56
12,4,361,52,3,28,,97,0,1,1,1,0,27,8
12,5,225,26,,28,"261,306",97,0,1,1,0,0,,3
12,6,260,50,11,36,"261,306",97,0,1,4,1,0,,3
12,3,225,26,9,28,"261,306",97,0,1,1,0,0,,2
12,4,361,52,3,28,"261,306",97,,,1,1,0,27,8
12,6,118,10,10,37,"261,306",97,,,0,0,0,28,2
12,6,246,25,16,41,"261,306",97,0,1,0,1,0,23,8
12,6,225,26,9,,"261,306",,0,1,1,0,0,24,2
1,4,225,26,9,28,,95,0,1,1,0,0,24,1
1,2,118,10,10,37,,95,0,1,0,0,,28,1
1,3,118,10,,37,"308,593",95,0,,0,0,0,28,1
1,3,155,12,14,34,"308,593",,0,,2,1,0,25,8
1,4,225,26,9,28,"308,593",95,0,1,1,0,0,24,2
1,5,184,42,7,27,"308,593",95,0,1,0,0,0,21,2
1,5,225,26,9,28,"308,593",95,0,1,1,0,0,24,2
1,6,225,26,9,28,"308,593",95,0,1,1,0,0,24,1
1,2,118,10,10,37,"308,593",95,0,1,0,0,0,28,2
